panel_id,asset_id,layer,layer_label,segment_id,point_index,panel_x,panel_y,source_x,source_y,closed_layer,connected_layer
A10_P03,A10,dimple_boundary,Central dimple boundary,1,5,98.5572,39.5695,483.55719999999997,394.5695,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,6,100.5112,43.0432,485.51120000000003,398.0432,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,7,102.4652,46.9512,487.4652,401.9512,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,8,104.6362,50.642,489.63620000000003,405.642,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,9,105.9389,54.3328,490.9389,409.3328,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,10,106.8073,60.1947,491.8073,415.1947,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,11,108.5442,69.0962,493.5442,424.0962,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,12,108.5442,75.3923,493.5442,430.3923,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,13,108.5442,82.1227,493.5442,437.1227,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,14,107.6757,90.3728,492.6757,445.3728,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,15,107.8929,94.7149,492.8929,449.7149,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,2,0,104.6362,108.827,489.63620000000003,463.827,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,2,1,102.6823,112.952,487.6823,467.952,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,2,2,100.077,116.2086,485.077,471.2086,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,2,3,97.2546,120.1166,482.2546,475.1166,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,2,4,91.6097,124.2416,476.6097,479.2416,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,2,5,85.3136,125.7614,470.3136,480.7614,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,2,6,79.6688,126.4127,464.66880000000003,481.4127,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,3,0,62.9515,120.7679,447.9515,475.7679,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,3,1,64.2541,121.8535,449.2541,476.8535,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,3,2,65.7739,123.3732,450.7739,478.3732,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,4,0,166.512,119.2482,551.512,474.2482,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,4,1,164.9923,120.5508,549.9923,475.5508,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,4,2,163.2554,121.8535,548.2554,476.8535,True,True
